Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,0.743218,0.748055,0.743218,0.744048,0.744048,0
2005-01-04,0.748055,0.748055,0.740192,0.740192,0.740192,0
2005-01-05,0.738280,0.738280,0.721241,0.727802,0.727802,0
2005-01-06,0.725689,0.725689,0.711339,0.718133,0.718133,0
2005-01-07,0.720981,0.734484,0.717360,0.717360,0.717360,0
2005-01-10,0.715052,0.727273,0.711491,0.718391,0.718391,0
2005-01-11,0.725689,0.729129,0.723066,0.727273,0.727273,0
2005-01-12,0.727802,0.746547,0.727273,0.736648,0.736648,0
2005-01-13,0.741015,0.744048,0.737463,0.740192,0.740192,0
2005-01-14,0.741290,0.745101,0.735565,0.742115,0.742115,0
2005-01-17,0.742335,0.753012,0.742335,0.749064,0.749064,0
2005-01-18,0.749064,0.750751,0.745156,0.746269,0.746269,0
2005-01-19,0.747496,0.750751,0.744879,0.744879,0.744879,0
2005-01-20,0.747664,0.747664,0.740741,0.740741,0.740741,0
2005-01-21,0.743218,0.743494,0.742391,0.743494,0.743494,0
2005-01-24,0.748503,0.751597,0.747943,0.749064,0.749064,0
2005-01-25,0.751315,0.754148,0.746826,0.750469,0.750469,0
2005-01-26,0.754148,0.762776,0.751880,0.757576,0.757576,0
2005-01-27,0.761905,0.762369,0.744602,0.749064,0.749064,0
2005-01-28,0.748727,0.755002,0.748503,0.748503,0.748503,0
2005-01-31,0.750300,0.755572,0.749625,0.750751,0.750751,0
2005-02-01,0.753296,0.764818,0.751880,0.764526,0.764526,0
2005-02-02,0.756430,0.759878,0.751315,0.754717,0.754717,0
2005-02-03,0.758150,0.761035,0.755287,0.755287,0.755287,0
2005-02-04,0.761325,0.772499,0.761035,0.763359,0.763359,0
2005-02-07,0.763184,0.765990,0.758150,0.758150,0.758150,0
2005-02-08,0.762369,0.763359,0.750469,0.752445,0.752445,0
2005-02-09,0.753864,0.760456,0.745990,0.751315,0.751315,0
2005-02-10,0.756144,0.756144,0.746269,0.751880,0.751880,0
2005-02-11,0.756830,0.760861,0.756830,0.759013,0.759013,0
2005-02-14,0.763650,0.763650,0.763650,0.763650,0.763650,0
2005-02-15,0.767165,0.767165,0.760456,0.762776,0.762776,0
2005-02-16,0.766871,0.767460,0.759878,0.760456,0.760456,0
2005-02-17,0.764234,0.770535,0.763359,0.767165,0.767165,0
2005-02-18,0.769231,0.769527,0.763942,0.765111,0.765111,0
2005-02-21,0.766871,0.771307,0.766871,0.769823,0.769823,0
2005-02-22,0.772201,0.776699,0.770713,0.772798,0.772798,0
2005-02-23,0.773395,0.773395,0.768640,0.768640,0.768640,0
2005-02-24,0.772201,0.775916,0.769823,0.769823,0.769823,0
2005-02-25,0.775916,0.778816,0.773994,0.774293,0.774293,0
2005-02-28,0.780336,0.786782,0.777303,0.782473,0.782473,0
2005-03-01,0.786782,0.786782,0.781861,0.781861,0.781861,0
2005-03-02,0.784437,0.784437,0.779423,0.781250,0.781250,0
2005-03-03,0.784314,0.791452,0.781250,0.781250,0.781250,0
2005-03-04,0.791452,0.798085,0.787402,0.798085,0.798085,0
2005-03-07,0.799360,0.799360,0.795862,0.795862,0.795862,0
2005-03-08,0.798085,0.798722,0.794913,0.798722,0.798722,0
